Service Center,County,Initial Services Sought at First Visit,Attended Group Training?,"Total Counseling Time, hrs",Business Status,Impact: Capital Investments,Impact: Created New Jobs,Impact: Revenue Increase,Impact: Started Business,Company's Total employees,"Company's Gross Revenue, $",NAICS code,Ownership Gender,Owner's Hispanic Origin,Owner's Race
Anne Arundel County,Anne Arundel,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,51,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,5.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,4,150000,71,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Baltimore City,Counseling,Yes,1,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,54,Male/Female-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,19,In Business (> 1 year),0,1,4000000,Not applicable: Already in Business,25,4000000,32,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,6,In Business (> 1 year),120000,0,0,Not applicable: Already in Business,3,150000,45,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,8.25,Started with SBDC,0,7,0,Yes,7,60000,33,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,13,In Business (> 1 year),0,0,6000,Not applicable: Already in Business,1,38000,62,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,2.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,12,150000,33,Male/Female-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,2,In Business (> 1 year),0,0,0,Not applicable: Already in Business,58,150000,54,Male-Owned,Non-Hispanic,Asian
Anne Arundel County,Anne Arundel,Counseling,Yes,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,Undefined,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),350000,0,0,Not applicable: Already in Business,0,150000,61,Male-Owned,Non-Hispanic,Asian
Anne Arundel County,Baltimore,Training,Yes,3.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,Undefined,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,22.25,Started with SBDC,0,0,0,Not applicable: Already in Business,12,60000,33,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,17.25,Pre-venture/Nascent,0,0,0,No,0,0,61,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,3.5,Pre-venture/Nascent,0,0,0,No,0,0,54,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,20.5,In Business (> 1 year),5000,5,23637,Not applicable: Already in Business,5,260000,81,Woman-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,Yes,14.75,In Business (> 1 year),17500,1,60000,Not applicable: Already in Business,1,60000,23,Male-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,Undefined,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,7.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,4,20000,56,Male-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Baltimore,Counseling,No,3.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,54,Male-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,1.75,In Business (> 1 year),0,5,0,Not applicable: Already in Business,19,150000,62,Male/Female-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,0.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,150000,31,Male-Owned,Non-Hispanic,Native Hawaiian or Pacific Islander
Anne Arundel County,Anne Arundel,Counseling,Yes,2.75,Started with SBDC,0,0,0,Yes,3,25000,54,Male-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,150000,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Baltimore,Counseling,No,5,Started with SBDC,0,0,0,Not applicable: Already in Business,6,60000,45,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,3.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,16,150000,54,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,7.5,In Business (> 1 year),330000,10,750000,Not applicable: Already in Business,18,1000000,45,Male/Female-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,43.25,In Business (> 1 year),0,1,0,Not applicable: Already in Business,1,20000,33,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,18.5,Started with SBDC,0,1,0,Yes,1,60000,54,Male/Female-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,1,Pre-venture/Nascent,0,0,0,No,0,0,54,Male/Female-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,2,In Business (> 1 year),0,0,0,Not applicable: Already in Business,3,150000,42,Male/Female-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,9.5,In Business (> 1 year),15000,1,0,Not applicable: Already in Business,1,150000,33,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,64.75,Started with SBDC,325000,7,100000,Yes,7,100000,32,Male/Female-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Baltimore,Counseling,No,12.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,45,150000,48,Woman-Owned,Choose not to respond,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,2.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,Undefined,Male-Owned,Hispanic,White/Caucasian
Anne Arundel County,Prince Georges,Counseling,No,2,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,61,Woman-Owned,Choose not to respond,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,21.25,In Business (> 1 year),0,0,8000,Not applicable: Already in Business,1,30000,81,Woman-Owned,Choose not to respond,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,1.75,Started with SBDC,0,0,0,Not applicable: Already in Business,1,60000,81,Woman-Owned,Choose not to respond,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,34.5,In Business (> 1 year),100000,1,120567,Not applicable: Already in Business,1,525043,54,Male/Female-Owned,Choose not to respond,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,2,Pre-venture/Nascent,0,0,0,No,0,0,48,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,2,Started with SBDC,275000,2,0,Yes,2,60000,54,Woman-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,2,Pre-venture/Nascent,0,0,0,No,0,0,52,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,8.5,Pre-venture/Nascent,0,0,0,No,0,0,54,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,56.5,In Business (> 1 year),8000000,0,0,Not applicable: Already in Business,1,150000,62,Woman-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,19.25,In Business (> 1 year),550000,28,7550000,Not applicable: Already in Business,28,8000000,54,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,7.75,Started with SBDC,0,2,0,Not applicable: Already in Business,5,60000,44,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,54,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Training,Yes,21.5,In Business (> 1 year),0,0,119000,Not applicable: Already in Business,1,200000,54,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,4.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,120,9300000,54,Male-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,Yes,6.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,81,Male-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,1.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,4,150000,51,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,1,In Business (> 1 year),0,0,0,Not applicable: Already in Business,7,150000,33,Male/Female-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,11,150000,33,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,2.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,56,Woman-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,15.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,12,150000,51,Male-Owned,Non-Hispanic,White/Caucasian
Howard County,Harford,Counseling,No,3.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,550000,33,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,150000,32,Male-Owned,Choose not to respond,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,1,In Business (> 1 year),0,0,0,Not applicable: Already in Business,7,250000,33,Male-Owned,Non-Hispanic,Native American
Anne Arundel County,Anne Arundel,Counseling,No,4,Started with SBDC,0,0,0,Not applicable: Already in Business,1,500000,23,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,16.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,38800,51,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,1,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,54,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,363.45,Start-up (in bus. < 1 year),5900,8,39148,Yes,8,39148,31,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,3.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,54,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,44.75,Started with SBDC,25000,1,67501.2,Yes,1,67501.2,54,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,3.5,In Business (> 1 year),,0,0,Not applicable: Already in Business,1,150000,32,Woman-Owned,Choose not to respond,White/Caucasian
Anne Arundel County,Anne Arundel,Training,Yes,103.4169998,In Business (> 1 year),4500,1,30000,Not applicable: Already in Business,2,40000,54,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,41,In Business (> 1 year),250000,12,2539476,Not applicable: Already in Business,16,2539476,54,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Baltimore,Counseling,No,0.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,5,150000,53,Woman-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,8,In Business (> 1 year),0,0,0,Not applicable: Already in Business,120,150000,31,Male/Female-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,1,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,52,Male-Owned,Non-Hispanic,White/Caucasian
Howard County,Anne Arundel,Counseling,Yes,6,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,51,Woman-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,3.75,Started with SBDC,0,0,0,Not applicable: Already in Business,1,60000,72,Male-Owned,Choose not to respond,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,3,150000,81,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Training,Yes,31.75,Started with SBDC,0,0,0,Not applicable: Already in Business,2,60000,54,Male-Owned,Choose not to respond,Choose not to respond
Anne Arundel County,Anne Arundel,Counseling,No,1.5,Start-up (in bus. < 1 year),0,3,0,Not applicable: Already in Business,3,0,54,Woman-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Training,Yes,2,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,54,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,56,Male/Female-Owned,Non-Hispanic,Native American
Anne Arundel County,Anne Arundel,Counseling,No,1,In Business (> 1 year),0,0,0,Not applicable: Already in Business,6,150000,81,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Training,Yes,2.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,8,150000,51,Male/Female-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,0.5,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,35,0,72,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Training,Yes,2,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,150000,56,Male-Owned,Choose not to respond,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,1.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,11,150000,61,Woman-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Baltimore,Counseling,No,0.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,56,Woman-Owned,Choose not to respond,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,24.75,In Business (> 1 year),0,0,230000,Not applicable: Already in Business,1,230000,23,Male-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,4,150000,54,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,23,Male-Owned,Hispanic,Choose not to respond
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,54,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,8,150000,23,Male/Female-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Prince Georges,Training,Yes,84,Pre-venture/Nascent,30000,0,0,No,0,0,72,Male-Owned,Non-Hispanic,Asian
Anne Arundel County,Anne Arundel,Training,Yes,3.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,150000,48,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,4,In Business (> 1 year),0,0,0,Not applicable: Already in Business,9,150000,23,Male/Female-Owned,Choose not to respond,Black or African American
Anne Arundel County,Anne Arundel,Counseling,Yes,10.5,In Business (> 1 year),35000,0,0,Not applicable: Already in Business,8,150000,23,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Frederick,Counseling,No,2,In Business (> 1 year),0,0,0,Not applicable: Already in Business,4,150000,81,Woman-Owned,Choose not to respond,Black or African American
Anne Arundel County,Anne Arundel,Counseling,Yes,8.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,61,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Training,Yes,5.25,Started with SBDC,0,1,0,Yes,1,60000,54,Woman-Owned,Choose not to respond,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,34,150000,44,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Training,Yes,34.25,In Business (> 1 year),27400,0,150000,Not applicable: Already in Business,1,150000,54,Male/Female-Owned,Hispanic,Choose not to respond
Anne Arundel County,Anne Arundel,Training,Yes,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,150000,54,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,10,150000,56,Male/Female-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,94.25,In Business (> 1 year),172400,1,250000,Not applicable: Already in Business,2,250000,54,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,56,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,4.25,In Business (> 1 year),200000,8,875000,Not applicable: Already in Business,8,875000,54,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,3.75,In Business (> 1 year),55000,0,0,Not applicable: Already in Business,3,150000,54,Woman-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Baltimore City,Counseling,No,5,In Business (> 1 year),150000,0,0,Not applicable: Already in Business,3,150000,23,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,2,In Business (> 1 year),0,0,0,Not applicable: Already in Business,8,150000,56,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,7,Pre-venture/Nascent,350000,0,0,No,0,0,Undefined,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,156.25,In Business (> 1 year),775000,10,1693345,Not applicable: Already in Business,10,2800000,42,Male-Owned,Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,3.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,3,150000,32,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,8,In Business (> 1 year),0,0,0,Not applicable: Already in Business,4,150000,51,Male/Female-Owned,Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,1,Pre-venture/Nascent,0,0,0,No,0,0,54,Male/Female-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,1.5,Started with SBDC,60000,2,0,Yes,2,60000,72,Male-Owned,Hispanic,Choose not to respond
Anne Arundel County,Anne Arundel,Counseling,No,31.5,Pre-venture/Nascent,0,0,0,No,0,0,62,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,1,Pre-venture/Nascent,0,0,0,No,0,0,44,Male-Owned,Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.5,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,4,0,54,Male/Female-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Baltimore,Counseling,No,0.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male/Female-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,6.5,In Business (> 1 year),87000,3,0,Not applicable: Already in Business,3,150000,23,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,14.25,In Business (> 1 year),67500,4,219291,Not applicable: Already in Business,5,300221,54,Male-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,Yes,1,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,150000,Undefined,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Training,Yes,0.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,Yes,55.25,In Business (> 1 year),151000,18,29000,Not applicable: Already in Business,18,525000,51,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.5,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.5,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,Undefined,Male/Female-Owned,Non-Hispanic,Asian
Anne Arundel County,Anne Arundel,Counseling,Yes,35.5,In Business (> 1 year),20000,0,0,Not applicable: Already in Business,2,150000,56,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,4.25,In Business (> 1 year),0,5,0,Not applicable: Already in Business,9,150000,51,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,4,In Business (> 1 year),700,0,0,Not applicable: Already in Business,1,150000,Undefined,Woman-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Training,Yes,11.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,81,Male-Owned,Hispanic,Choose not to respond
Anne Arundel County,Anne Arundel,Counseling,No,4,In Business (> 1 year),0,0,0,Not applicable: Already in Business,14,150000,61,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,9.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,23,Male-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,Yes,4.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,33,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,3.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,23,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,2.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,54,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,7,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,42,Woman-Owned,Non-Hispanic,White/Caucasian
